Date,Time,CWD_Crse,Nel_Crse,CWD_Spd,Nel_Spd,Range,Bearing,Bearing Rate,Relative Bearing,ATB
12/Dec/1995,07:08:00,310.2,50.5,6.0031658991,11.3395316739,9399.9441076105,62.435939838,-1.8162409602,-7.8160507175,-9.3138017211
12/Dec/1995,07:09:00,310,49.9,5.8675552411,10.956642226,9061.8838849449,60.5530108181,-1.8249218513,-53.0345876028,0.3977828258
12/Dec/1995,07:10:00,310.4,50.3,5.9829679173,9.7060704864,8730.3382620898,58.6599155113,-1.9395801055,-59.117491747,0.8804961951
12/Dec/1995,07:11:00,310,68.1,6.1195118383,10.1090502227,8395.4041589267,56.6441184332,-2.1580609318,-61.8095891795,-1.3873105689
12/Dec/1995,07:12:00,309.5,125.3,6.1300015636,10.6487211554,8070.3607218589,54.4003115977,-2.3568025767,-62.4517470696,-3.8023261427
12/Dec/1995,07:13:00,310.5,129.7,6.2224412552,10.8959107094,7759.9397133792,51.9503786433,-2.5905450246,-65.4188648168,-6.9936824367
12/Dec/1995,07:14:00,310.3,130.6,6.2673691225,11.0953884886,7458.9771937723,49.256382002,-2.739186019,-68.0289693207,-8.2160270339
12/Dec/1995,07:15:00,309.5,129.3,6.2975469582,11.1513442692,7177.6328555819,46.4108371481,-2.9699505563,-70.0743383948,-10.4794175853
12/Dec/1995,07:16:00,309.2,130.3,6.3509348702,11.2769536219,6905.4390939446,43.3246802429,-3.2264567474,-73.274781022,-14.8398793451
12/Dec/1995,07:17:00,309.5,130.7,6.3853629491,11.1202385657,6659.3452477039,39.9796112602,-3.5206065836,-74.8475923856,-18.7972073956
12/Dec/1995,07:18:00,309.8,130.3,6.3773008159,11.2931411757,6436.6464302107,36.3374640196,-3.744822477,-78.6400685873,-21.7626441683
12/Dec/1995,07:19:00,309.9,130.8,6.3932350743,11.1825255729,6238.9271385592,32.4739043149,-3.9809329554,-81.9012285314,-25.3981201795
12/Dec/1995,07:20:00,310.3,129.5,6.4089756598,11.3035127255,6078.9513035061,28.3877543045,-4.1982331388,-85.2101115342,-29.5725965457
12/Dec/1995,07:21:00,309.9,130.2,6.3275607141,11.29573394,5945.2657993006,24.0942362043,-4.4239499857,-90.4618471366,-34.5770271965
12/Dec/1995,07:22:00,310.3,130.1,6.3616877705,11.2930287947,5849.0983986625,19.5961860911,-4.5393720254,-93.5668161842,-38.4163543895
12/Dec/1995,07:23:00,309.8,129.7,6.4800007753,11.280184022,5787.6548310781,15.0070085448,-4.6633318058,-97.6307604746,-43.0334075598
12/Dec/1995,07:24:00,309.1,131.2,6.3853700962,11.3722202437,5764.4406355287,10.3230012392,-4.6276427929,-102.2152962434,-48.1385445219
12/Dec/1995,07:25:00,310.1,130.2,6.3722689943,11.3065923273,5780.3385793757,5.7063271602,-4.6540418697,-107.2400516684,-52.7884147963
12/Dec/1995,07:26:00,310.9,129.9,6.4433454918,11.3386946048,5834.2452005618,1.0935113103,-4.5431663364,-111.9978734216,-56.8483059141
12/Dec/1995,07:27:00,310.7,130,6.393324277,11.1285620788,5924.9868478314,0,-4.5007321124,-116.2218261302,-61.5710021148
12/Dec/1995,07:28:00,310.6,130.5,6.4196602073,11.2885293083,6049.2229961094,360,-4.2611750317,-121.5236025781,-66.2311292083
12/Dec/1995,07:29:00,310.8,130.6,6.3749755269,11.2425755271,6210.8371963693,356.6184450519,-4.0339074642,-124.4838540691,-70.2409525935
12/Dec/1995,07:30:00,310.4,130.2,6.409180843,11.4602599749,6399.2810533396,352.2088017406,-3.8253399687,-130.0117572012,-74.1352356315
12/Dec/1995,07:31:00,309.3,130.9,6.3750362826,11.3470149512,6620.6647976549,348.0576626769,-4.0965776539,-133.6286157157,-77.8544263259
12/Dec/1995,07:32:00,302.9,129.3,6.3857783465,11.2704398124,6784.8986897409,344.1420958848,-4.4349243027,-137.8723917932,-81.3834453451
12/Dec/1995,07:33:00,277.1,130.5,6.4329666653,11.4310789844,6832.5055693946,340.4445262051,-4.5443534516,-123.9716713911,-86.0527562562
12/Dec/1995,07:34:00,246.1,129.9,6.3914341884,10.965454131,6919.6177869917,336.4465546484,-4.4969888676,-99.7948048308,-91.4665755285
12/Dec/1995,07:35:00,232.3,130.2,6.4280005249,10.8479765109,7057.3335790138,332.0412237094,-4.4180367063,-103.0435305168,-95.6567008108
12/Dec/1995,07:36:00,229.7,109.3,6.3988704589,11.4223584628,7236.6540861165,327.5525816328,-4.2203717403,-107.9268141024,-99.5983075036
12/Dec/1995,07:37:00,229.9,71.5,6.3042388384,11.7657313371,7456.2128447191,323.1420266937,-3.9557886634,-111.9102515456,-103.4863959448
12/Dec/1995,07:38:00,230.2,70.1,6.3910331158,12.0959487738,7712.3640312307,318.8323631478,-3.7563921919,-116.3768514937,-107.4765451072
12/Dec/1995,07:39:00,230.9,70.6,6.4830799343,12.2213826158,7998.0052325889,314.7355789433,-3.4789843423,-120.7658130049,-110.8727287961
12/Dec/1995,07:40:00,229.4,70.1,6.3989927277,12.2625144527,8315.7811172979,310.9109419075,-3.2091168624,-123.566439513,-114.4882795325
12/Dec/1995,07:41:00,228.7,70.3,6.3937936582,12.330973813,8661.6225616361,307.2887522132,-2.9712061267,-127.9082029204,-117.6451954115
12/Dec/1995,07:42:00,230.1,70.6,6.3595992277,12.250626491,9029.7797486896,303.9430638217,-2.7106714118,-131.3528997072,-120.1996801386
12/Dec/1995,07:43:00,230.8,69.3,6.3596293685,12.3312777994,9415.4088536606,300.8626657569,-2.4984060321,-134.0854404915,-122.7986587323
12/Dec/1995,07:44:00,230.1,70.2,6.4122509814,12.3607112412,9820.7092904897,298.013332935,-2.2928667551,-137.1381514542,-125.3791392271
